Age,Annual_Income,Family_Size,Product_Price,Availability,Discount_Percentage,Previous_Purchases,Website_Visits,Time_Spent_Minutes,Cart_Additions,Need_Score,Purchased
52,162233,4,38953,0,36,18,6,113,15,9,1
24,109110,2,334,0,35,18,29,56,12,6,1
33,22810,3,6934,1,12,14,9,96,7,4,0
43,91688,7,15155,1,8,0,20,87,8,5,0
19,85548,2,3307,1,27,2,11,97,14,8,0
18,31162,1,2500,0,45,24,19,94,4,7,1
29,107858,5,9709,1,15,17,39,94,19,6,1
22,93535,4,21573,1,5,16,10,71,17,2,0
54,158291,3,45430,0,26,24,5,80,1,3,0
49,90864,7,24035,1,9,20,39,43,4,1,0
26,154693,4,23974,0,22,7,23,53,19,3,0
58,138371,4,40608,0,20,10,6,114,15,2,0
52,109792,6,25115,0,25,19,31,1,15,6,1
36,195505,4,14284,1,44,7,18,94,3,4,1
33,86188,2,46906,1,2,27,21,98,19,3,0
20,101718,2,29643,1,42,20,15,61,10,8,1
37,56558,5,750,0,34,5,31,118,19,5,1
41,148938,1,32489,1,6,5,10,34,15,4,0
50,166731,7,49285,0,26,5,6,61,11,6,0
41,54413,7,27428,1,41,1,24,102,5,4,1
28,30435,3,19516,0,32,9,33,61,15,5,1
25,48067,2,13219,0,3,9,28,95,18,4,0
53,107794,4,7744,0,25,8,28,8,10,9,1
55,113823,1,8753,0,7,22,10,54,11,2,0
57,89224,3,14516,0,19,2,23,53,3,1,0
37,21379,7,24997,0,16,1,15,20,12,7,0
52,122547,3,1974,0,4,3,46,46,1,9,0
42,128541,3,10529,0,48,7,48,118,18,9,1
52,178696,7,12313,0,8,8,37,93,10,4,0
42,134634,3,49087,0,7,25,14,31,0,4,0
46,148701,5,17740,0,6,1,48,85,8,1,0
35,77745,3,36108,0,36,15,14,26,9,1,0
63,123915,1,15902,1,35,29,7,95,2,1,0
35,163588,2,16222,1,2,5,36,63,7,6,0
19,149560,1,21753,0,7,7,18,20,15,6,0
52,175915,4,43771,1,4,2,15,22,3,5,0
33,156984,6,24201,0,4,10,49,57,10,2,0
58,172586,5,1509,1,16,24,33,57,7,6,1
53,179869,5,43488,0,46,19,47,104,6,1,1
50,157521,4,34700,1,26,4,48,26,19,3,1
21,152797,7,18508,0,39,29,22,17,14,5,1
50,101406,1,5836,1,38,11,43,89,7,5,1
31,29304,1,5093,0,48,22,41,101,9,7,1
38,145555,4,43971,1,11,29,17,27,18,5,0
37,164735,7,47265,1,27,26,26,67,4,6,1
25,90320,6,31347,1,3,10,15,56,2,7,0
24,114488,3,28921,0,27,4,40,24,6,2,1
20,95591,7,3313,1,24,19,18,25,5,3,0
34,115044,3,43223,1,49,19,8,114,16,3,1
50,163748,2,29595,0,35,20,3,10,9,1,0
29,45192,1,6308,0,41,2,14,36,19,9,1
39,175794,1,9744,1,2,8,34,106,14,9,0
39,158518,4,6553,0,30,27,33,82,1,9,1
63,139304,4,11193,1,36,17,37,45,0,9,1
47,155797,3,46609,1,11,11,49,118,11,8,1
55,108207,7,11363,0,36,22,1,17,12,5,0
55,93741,1,405,1,36,3,48,78,11,9,1
62,36365,1,34252,1,3,23,35,58,11,7,0
25,85792,5,32121,0,29,6,10,83,6,2,0
44,166776,2,18058,0,37,23,19,82,6,7,1
44,70575,2,972,1,41,19,11,23,5,4,1
51,180974,3,41228,1,37,10,35,8,12,7,1
38,139641,6,22062,1,26,1,2,50,8,7,0
47,152267,7,42663,0,21,22,3,16,15,3,0
50,73517,1,17514,1,0,11,15,89,1,3,0
45,54012,5,10026,1,47,8,41,43,10,6,1
64,162487,7,48359,1,42,5,47,96,2,2,1
50,190606,1,39773,0,37,6,28,113,8,8,1
22,41686,4,37310,1,19,5,2,114,11,8,0
36,179815,7,15390,1,17,17,30,83,1,4,0
21,52161,3,3767,0,5,12,38,82,18,2,0
52,22402,7,17760,0,48,8,5,96,5,9,1
34,83190,6,6653,1,11,20,6,46,17,9,0
61,33275,7,17026,0,16,27,5,49,12,2,0
45,179254,7,4908,1,21,18,12,104,13,4,0
47,34915,7,28712,1,17,3,4,15,7,1,0
46,20909,2,40599,0,9,3,24,49,8,6,0
63,134110,1,28115,1,23,12,25,21,12,1,0
23,85908,6,33451,1,19,27,26,75,16,7,1
52,147337,3,49762,1,11,24,46,93,5,9,1
58,42620,2,9238,1,3,10,46,96,19,9,1
54,54112,1,40563,1,41,20,43,6,9,2,1
41,22431,5,36341,0,4,1,33,55,10,8,0
46,106590,3,1298,1,25,5,21,83,9,3,0
63,82175,1,27547,1,35,11,23,80,5,5,1
48,137472,2,36863,0,15,29,37,76,5,4,1
52,52624,2,12213,0,4,22,37,15,14,6,0
50,81264,5,28849,0,25,7,12,11,6,7,0
38,133766,3,37403,0,18,4,37,39,11,9,1
49,183030,3,38739,0,5,23,21,74,19,5,0
40,152767,6,19787,0,23,23,13,51,8,2,0
50,120211,1,2547,0,30,29,43,37,0,4,1
20,139502,6,9508,0,30,19,33,49,15,2,1
35,64225,2,39712,1,6,22,44,57,17,1,0
42,152475,2,17774,1,9,27,6,88,6,2,0
59,189708,7,12513,0,38,28,43,115,17,7,1
48,30839,5,48037,1,21,8,12,100,7,2,0
20,198901,5,7649,1,13,25,38,65,14,4,1
57,160302,3,23171,1,27,3,30,110,5,5,0
63,71977,6,8793,1,41,8,37,17,11,3,1
41,191304,2,43931,1,21,11,18,63,14,4,0
49,133050,7,16870,0,31,3,16,14,14,3,0
64,45651,1,41471,0,10,16,45,38,9,8,1
39,117919,7,2106,1,13,19,7,118,8,8,0
40,59963,4,5313,0,30,1,46,25,13,3,1
19,137776,1,36736,1,43,21,1,37,13,9,1
44,99198,5,9630,1,3,12,28,99,16,9,0
59,164811,1,47228,1,44,14,44,86,10,7,1
19,150697,2,6737,0,21,7,3,56,5,1,0
43,83294,6,49604,1,28,5,43,111,11,3,1
34,199428,7,5064,1,34,8,39,7,16,8,1
57,21789,3,34170,1,12,21,10,11,4,6,0
50,170492,6,7849,0,19,10,45,74,5,9,1
26,109297,4,946,1,18,22,14,78,2,9,0
60,188678,3,13490,0,14,11,15,35,0,1,0
56,189712,4,13835,1,25,20,6,110,17,6,0
46,138341,4,24005,1,19,23,39,113,13,3,1
59,64135,2,14976,1,35,1,45,36,11,5,1
43,57067,2,14067,0,5,1,16,70,11,1,0
52,37357,5,18362,1,14,10,47,52,10,7,1
42,190923,5,36973,1,3,7,18,69,18,6,0
41,58262,4,20114,1,5,5,35,42,2,5,0
30,78643,6,24154,1,1,17,48,71,1,2,0
24,172606,5,30055,1,35,21,25,15,6,8,1
53,111270,2,23151,1,49,28,33,21,11,5,1
62,183944,5,28485,0,14,10,33,117,18,2,0
37,158761,4,35687,1,11,23,19,82,12,4,0
18,89103,7,27583,0,39,5,38,1,18,8,1
25,106268,3,27753,1,43,8,11,68,3,8,1
63,106310,6,40945,0,40,21,39,11,11,3,1
33,57412,6,44890,1,6,13,3,10,3,8,0
31,67734,1,42118,0,21,18,38,45,12,9,1
29,107793,5,30994,1,7,24,1,56,19,2,0
40,42228,6,29942,0,41,25,40,19,6,6,1
32,140627,7,19748,1,10,20,25,118,5,3,0
45,97924,7,31856,0,1,5,32,42,11,5,0
51,31319,2,22507,1,29,19,46,94,11,4,1
19,26475,3,44661,1,3,18,36,114,15,8,0
49,165800,2,17158,1,24,9,4,41,12,7,0
40,49545,5,10170,0,20,13,23,105,16,7,0
39,116636,4,39125,0,24,4,16,20,7,1,0
42,189771,7,33879,0,8,11,11,27,0,6,0
39,187893,7,16716,1,7,18,22,12,11,2,0
39,50615,1,30473,0,4,28,39,78,19,8,1
59,33746,1,35041,1,45,1,33,98,6,6,1
23,173817,7,36252,1,27,14,41,64,11,9,1
32,21245,3,897,1,1,5,38,106,18,1,0
60,137408,6,39989,1,20,29,13,114,12,8,0
54,132143,6,13694,1,48,7,21,38,9,2,1
50,175925,7,47854,1,7,13,12,66,1,7,0
25,47632,6,7790,1,33,2,26,113,2,3,0
61,32856,1,12769,0,22,5,49,58,11,7,1
61,88049,4,19073,0,14,10,1,96,4,1,0
22,78182,6,21185,1,26,29,41,82,4,9,1
56,153873,2,28887,1,1,8,22,114,4,6,0
21,190821,7,25184,0,27,29,27,85,6,7,1
23,75654,6,24151,1,10,16,32,110,7,9,0
62,75381,4,11654,0,45,18,8,118,18,1,1
49,78601,7,37739,1,20,28,34,11,15,8,1
47,166154,3,13454,1,41,1,18,30,9,7,1
64,165720,3,5389,0,31,27,4,64,12,2,0
52,20364,1,24844,0,31,7,1,83,1,1,0
57,185640,4,18045,1,6,24,44,48,3,1,0
33,27436,2,24343,1,21,9,16,40,1,4,0
30,106713,4,48699,0,13,21,30,114,2,5,0
59,177826,2,39154,0,12,2,23,94,9,7,0
47,80194,2,24327,0,20,9,31,99,10,8,1
36,44544,4,27848,1,21,23,28,68,2,2,0
34,83295,7,17058,0,33,25,37,21,4,9,1
36,163710,5,46784,1,9,22,16,5,19,7,0
45,89409,4,10034,0,0,29,41,118,5,6,0
43,146839,7,45630,0,0,1,9,36,12,8,0
54,133759,2,10650,0,23,26,2,91,4,2,0
43,37157,7,4124,0,2,6,46,7,2,1,0
40,196637,7,31872,1,30,0,43,60,19,5,1
26,85888,6,8822,1,42,23,2,56,11,9,1
29,84947,3,2220,0,40,11,32,31,2,7,1
18,90880,3,30189,1,12,4,16,84,18,7,0
18,24507,1,21448,1,3,8,13,25,14,9,0
64,123134,3,5977,1,22,11,49,102,9,5,1
51,63988,5,43588,0,5,10,27,56,5,5,0
49,118421,2,19004,0,33,11,31,89,15,7,1
42,167937,4,20892,1,40,2,33,81,14,6,1
57,122591,4,26137,0,17,11,21,110,1,6,0
62,149614,5,17435,0,35,22,19,101,16,8,1
18,47213,3,14759,0,25,23,48,79,15,4,1
33,77450,2,29784,0,32,0,13,119,2,2,0
56,155549,3,1064,1,32,29,19,74,18,3,1
22,82222,7,35002,1,24,5,35,34,3,4,0
39,157605,1,35112,0,16,29,35,44,19,5,1
46,174468,3,35671,1,2,10,33,107,4,2,0
20,32755,1,4011,1,21,1,3,7,12,8,0
29,151937,4,11316,1,48,7,48,103,19,5,1
43,162245,2,1508,1,34,21,21,51,1,7,1
33,189169,6,21721,1,3,10,40,25,11,9,0
54,53371,7,21077,0,27,26,23,103,16,7,1
39,162326,1,13295,1,12,11,48,110,9,4,1
46,155090,3,44038,1,29,18,45,108,8,3,1
31,25192,7,40531,0,46,19,45,28,8,8,1
45,22015,3,42677,0,11,22,11,42,16,9,0
22,128154,7,7213,0,2,8,4,27,8,5,0
64,48343,4,41010,1,20,10,4,37,13,6,0
47,89306,5,22861,1,39,25,15,55,16,6,1
63,25829,7,25092,0,0,17,28,103,16,3,0
22,54381,6,13878,1,17,8,36,38,1,4,0
29,131451,5,22085,0,12,14,8,116,14,9,0
33,38263,3,4467,0,6,21,24,56,10,6,0
43,194378,5,45547,1,12,17,34,92,4,5,0
43,78418,7,10886,0,16,7,15,34,8,9,0
38,20148,6,45880,1,44,3,23,29,8,8,1
56,152826,6,42806,0,31,26,27,109,13,9,1
53,46745,2,44561,0,28,12,14,48,7,9,0
50,92914,5,31008,0,44,14,2,72,10,4,1
47,171212,2,11151,1,29,7,35,77,11,8,1
54,80653,3,36846,0,10,15,43,46,6,9,1
40,98315,3,15711,0,13,10,7,37,2,5,0
27,51075,3,4590,0,9,22,16,119,2,4,0
22,181769,4,31413,1,7,22,22,3,13,1,0
53,29795,5,6477,1,30,26,28,78,3,3,1
51,84555,1,10003,1,5,12,32,96,13,2,0
48,123107,6,14667,1,18,29,7,87,13,7,0
27,71529,1,22985,1,18,6,22,87,2,4,0
36,162744,3,28322,0,11,17,43,77,12,9,1
49,187022,7,48656,0,38,7,2,113,7,9,0
18,31009,7,26706,0,49,1,8,105,5,2,0
22,198168,5,17540,0,17,2,7,103,1,3,0
62,170616,7,2360,1,2,9,38,50,5,8,0
21,49381,2,30367,0,8,6,48,21,19,3,0
33,147769,1,27102,1,5,22,21,107,13,4,0
41,176359,7,16933,1,0,27,43,48,6,3,0
33,84610,3,49820,1,41,6,22,58,16,2,1
19,88122,1,3598,0,39,3,35,31,2,1,1
45,88184,1,46829,1,28,20,18,114,13,3,1
49,191153,6,10618,0,48,22,9,7,0,9,1
44,196384,1,12601,1,34,7,49,57,11,8,1
37,107228,3,22354,0,34,18,2,36,2,9,0
41,92943,6,34176,0,29,21,42,83,18,5,1
29,100770,3,16002,1,34,11,42,86,11,5,1
52,72726,4,33585,1,38,24,17,24,13,8,1
50,173283,7,25645,0,21,9,40,24,0,5,0
50,180552,4,3445,0,42,13,20,56,4,4,1
60,67780,7,15470,1,27,26,6,85,6,9,0
54,62503,4,46821,1,17,11,11,61,19,1,0
29,77893,1,28331,1,31,20,5,107,18,6,1
20,197265,5,41963,0,4,19,10,77,5,7,0
18,81358,3,9742,1,33,24,23,70,17,6,1
50,100857,4,17939,0,30,3,33,28,5,8,1
57,140457,5,23781,1,45,18,40,32,10,8,1
27,173189,4,7135,1,32,28,36,77,2,5,1
60,137928,7,33399,1,3,6,39,98,8,4,0
61,78706,4,35135,0,13,20,47,96,2,7,1
46,160548,5,49584,0,14,0,34,118,5,9,0
30,102806,4,23683,0,19,7,17,78,8,2,0
29,75006,1,22205,0,19,10,26,96,7,7,0
48,107238,1,16230,1,48,0,48,45,1,6,1
63,65798,6,13836,1,34,24,27,69,18,3,1
19,97271,1,42381,1,3,0,46,99,15,2,0
52,50177,2,13915,0,17,3,3,68,4,1,0
40,148022,6,24496,0,23,25,19,78,9,2,0
34,150156,4,24412,1,26,3,8,18,19,5,0
43,102215,2,12344,1,32,10,17,75,11,1,0
25,63013,3,42768,0,24,29,1,83,11,8,0
46,102600,5,11818,0,4,24,7,2,5,4,0
43,116099,3,16884,0,17,0,36,98,13,3,0
27,73450,2,30783,0,44,9,3,3,6,2,0
43,199000,1,44690,1,45,28,19,29,0,1,1
51,142640,7,44097,0,19,24,42,87,13,8,1
58,112403,4,31528,1,34,3,27,48,14,9,1
24,196454,6,36859,1,5,22,3,65,12,3,0
21,119290,7,26590,1,26,24,34,42,0,3,1
62,151832,7,40801,0,27,26,5,6,19,9,1
28,44142,4,47451,1,10,6,49,59,18,7,1
